[INFO] [2023-08-01 15:18:33,050] [Extractor]: Archivo datos_contratos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 15:18:33,076] [Extractor]: Archivo datos_contratos.json convertido a df
[INFO] [2023-08-01 15:18:33,081] [Quality]: La columna bpin tiene únicos
[INFO] [2023-08-01 15:18:33,092] [CleanUp1]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 15:18:33,092] [CleanUp2]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 15:19:36,569] [Extractor]: Archivo datos_basicos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 15:19:36,607] [Extractor]: Archivo datos_basicos.json convertido a df
[INFO] [2023-08-01 15:19:37,924] [Extractor]: Archivo datos_contratos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 15:19:37,950] [Extractor]: Archivo datos_contratos.json convertido a df
[INFO] [2023-08-01 15:19:37,956] [Quality]: La columna bpin tiene únicos
[INFO] [2023-08-01 15:19:37,972] [CleanUp1]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 15:19:37,977] [CleanUp2]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 15:19:54,105] [Extractor]: Archivo datos_basicos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 15:19:54,137] [Extractor]: Archivo datos_basicos.json convertido a df
[INFO] [2023-08-01 15:19:55,535] [Extractor]: Archivo datos_contratos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 15:19:55,567] [Extractor]: Archivo datos_contratos.json convertido a df
[INFO] [2023-08-01 15:19:55,567] [Quality]: La columna bpin tiene únicos
[INFO] [2023-08-01 15:19:55,577] [CleanUp1]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 15:19:55,588] [CleanUp2]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 15:21:16,271] [Extractor]: Archivo datos_basicos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 15:21:16,308] [Extractor]: Archivo datos_basicos.json convertido a df
[INFO] [2023-08-01 15:21:17,722] [Extractor]: Archivo datos_contratos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 15:21:17,748] [Extractor]: Archivo datos_contratos.json convertido a df
[INFO] [2023-08-01 15:21:17,753] [Quality]: La columna bpin tiene únicos
[INFO] [2023-08-01 15:21:17,764] [CleanUp1]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 15:21:17,764] [CleanUp2]: El archivo se ha limpiado con éxito
